City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,ust-nera,64.5667,143.2,16.25,89,100,2.78,RU,1689976286
121,ranot,7.7777,100.3213,26.19,80,100,3.92,TH,1689976660
122,lys'va,58.1086,57.8053,11.8,97,82,2.01,RU,1689976660
123,hanzhong,33.0728,107.0303,21.74,92,0,0.62,CN,1689976660
124,carnarvon,-24.8667,113.6333,13.8,36,0,9.68,AU,1689976264
125,hengchun,22.0042,120.7439,27.63,82,94,4.8,TW,1689976661
126,harper,4.375,-7.7169,25.1,84,77,5.97,LR,1689976479
127,avarua,-21.2078,-159.775,24.03,60,40,8.75,CK,1689976661
128,monywa,22.1167,95.1333,28.24,79,99,2.01,MM,1689976404
129,shimoda,34.6667,138.95,26.17,81,5,4.92,JP,1689976088
130,qamdo,31.1667,97.2333,2.25,51,0,0.53,CN,1689976662
131,olonkinbyen,70.9221,-8.7187,5.57,81,100,3.11,SJ,1689976662
132,lompoc,34.6391,-120.4579,35.99,72,75,3.6,US,1689976119
133,minas de marcona,-15.2119,-75.1103,16.53,68,4,5.31,PE,1689976109
134,neustrelitz,53.3667,13.0833,12.5,94,83,3.69,DE,1689976662
135,otjimbingwe,-22.35,16.1333,15.19,23,0,1.36,NA,1689976663
136,trinity beach,-16.7888,145.6968,20.01,88,0,5.14,AU,1689976132
137,hohhot,40.8106,111.6522,15.16,88,40,1.0,CN,1689976663
138,gunjur,13.2019,-16.7339,27.04,89,40,3.6,GM,1689976663
139,tsiroanomandidy,-18.7667,46.0333,19.23,64,87,2.4,MG,1689976663
140,igarka,67.4667,86.5833,16.33,72,81,4.05,RU,1689976113
141,wailua homesteads,22.0669,-159.378,28.44,83,100,6.69,US,1689976664
142,alvaraes,-3.2208,-64.8042,32.93,53,4,0.77,BR,1689976664
143,graaff-reinet,-32.2522,24.5308,13.29,64,52,5.73,ZA,1689976664
144,nadi,-17.8,177.4167,24.0,78,40,1.03,FJ,1689976665
145,iskateley,67.6803,53.1512,8.22,94,88,6.17,RU,1689976665
146,kushiro,42.975,144.3747,17.48,91,4,3.35,JP,1689976665
147,vladikavkaz,43.0367,44.6678,19.92,82,75,3.0,RU,1689976665
148,collie,-33.3667,116.15,5.69,95,0,1.09,AU,1689976666
149,westport,41.1415,-73.3579,28.86,74,20,3.6,US,1689976250
150,dwarka,22.2394,68.9678,27.92,85,100,6.89,IN,1689976079
151,lethem,3.3803,-59.7968,28.01,71,77,1.3,GY,1689976666
152,masterton,-40.9597,175.6575,8.82,94,100,2.59,NZ,1689976287
153,asyut,27.181,31.1837,32.1,17,0,3.68,EG,1689976621
154,walvis bay,-22.9575,14.5053,11.53,93,0,3.6,NA,1689976389
155,miyaly,48.8844,53.7836,24.07,35,66,3.51,KZ,1689976667
156,henryetta,35.4398,-95.9819,27.97,52,76,5.62,US,1689976667
157,kilju,40.9642,129.3278,22.03,94,79,1.6,KP,1689976668
158,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,77,0,3.0,RU,1689976086
159,port lincoln,-34.7333,135.8667,12.45,73,47,6.21,AU,1689976668
